Id_plot,Location,Plots,Treatment,Date,Longitude,Latitude,Elevation,Inclination,Bearing,Richness,Abundance,Density,D_Shannon,D_Simpson,Canopy_cover,N_M_Trees_adult,N_M_Eedulis_adult,FRic,FEve,FDiv,FDis,Rao,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage,ME,MI,PAT,MIN,GAL,Ed_seeds_available,Ed_seeds_preyed,Ed_predation_efforts_hours,GHG_Rep,GHG_CH4,GHG_CO2,GHG_N2O,pH_H2O,pH_CaCl2,SB,CEC,V,m,P,K,Ca,Mg,Al,H_Al,OM,Total_sand,Silt,Clay,Texture,effort_cam_day_summed,ttl_spp_rich,med_lar_mamm_spp_rich,small_mamm_spp_rich,birds_spp_rich,ttl_fg_rich,med_lar_mamm_fg_rich,small_mamm_fg_rich,birds_fg_rich,birds_1_ttl_abnd,birds_2_ttl_abnd,birds_3_ttl_abnd,birds_4_ttl_abnd,herbivore_1_ttl_abnd,herbivore_2_ttl_abnd,herbivore_3_ttl_abnd,marsupial_1_ttl_abnd,marsupial_2_ttl_abnd,marsupial_3_ttl_abnd,meso_1_ttl_abnd,others_1_ttl_abnd,predator_1_ttl_abnd,predator_2_ttl_abnd,rodent_1_ttl_abnd,rodent_2_ttl_abnd,rodent_3_ttl_abnd,rodent_4_ttl_abnd,all_med_lar_abn,all_small_abn,all_birds_abn,Cabassous_sp__ttl_abnd,Cuniculus_paca_ttl_abnd,Dasyprocta_leporina_ttl_abnd,Dasypus_novemcinctus_ttl_abnd,Dasypus_sp__ttl_abnd,Eira_barbara_ttl_abnd,Euphractus_sexcinctus_ttl_abnd,Leopardus_guttulus_ttl_abnd,Leopardus_pardalis_ttl_abnd,Leopardus_wiedii_ttl_abnd,Leopardus_sp__ttl_abnd,Mazama_sp__ttl_abnd,Myrmecophaga_tridactyla_ttl_abnd,Nasua_nasua_ttl_abnd,Pecari_tajacu_ttl_abnd,Puma_concolor_ttl_abnd,Puma_yagouaroundi_ttl_abnd,Sylvilagus_brasiliensis_ttl_abnd,Tamandua_tetradactyla_ttl_abnd,Tapirus_terrestris_ttl_abnd,Tayassu_pecari_ttl_abnd,birds_1_fg_kg,birds_2_fg_kg,birds_3_fg_kg,birds_4_fg_kg,herbivore_1_fg_kg,herbivore_2_fg_kg,herbivore_3_fg_kg,marsupial_1_fg_kg,marsupial_2_fg_kg,marsupial_3_fg_kg,meso_1_fg_kg,others_1_fg_kg,predator_1_fg_kg,predator_2_fg_kg,rodent_1_fg_kg,rodent_2_fg_kg,rodent_3_fg_kg,rodent_4_fg_kg,all_med_lar_bmss_kg,all_small_bmss_kg,all_birds_bmss_kg,birds_1_fg_kg_cam_effort,birds_2_fg_kg_cam_effort,birds_3_fg_kg_cam_effort,birds_4_fg_kg_cam_effort,herbivore_1_fg_kg_cam_effort,herbivore_2_fg_kg_cam_effort,herbivore_3_fg_kg_cam_effort,marsupial_1_fg_kg_cam_effort,marsupial_2_fg_kg_cam_effort,marsupial_3_fg_kg_cam_effort,meso_1_fg_kg_cam_effort,others_1_fg_kg_cam_effort,predator_1_fg_kg_cam_effort,predator_2_fg_kg_cam_effort,rodent_1_fg_kg_cam_effort,rodent_2_fg_kg_cam_effort,rodent_3_fg_kg_cam_effort,rodent_4_fg_kg_cam_effort,all_med_lar_bmss_kg_cam_effort,all_small_bmss_kg_cam_effort,all_birds_bmss_kg_cam_effort,Cabassous_sp__kg,Cuniculus_paca_kg,Dasyprocta_leporina_kg,Dasypus_novemcinctus_kg,Dasypus_sp__kg,Eira_barbara_kg,Euphractus_sexcinctus_kg,Leopardus_guttulus_kg,Leopardus_pardalis_kg,Leopardus_wiedii_kg,Leopardus_sp__kg,Mazama_sp__kg,Myrmecophaga_tridactyla_kg,Nasua_nasua_kg,Pecari_tajacu_kg,Puma_concolor_kg,Puma_yagouaroundi_kg,Sylvilagus_brasiliensis_kg,Tamandua_tetradactyla_kg,Tapirus_terrestris_kg,Tayassu_pecari_kg,Cabassous_sp__kg_cam_effort,Cuniculus_paca_kg_cam_effort,Dasyprocta_leporina_kg_cam_effort,Dasypus_novemcinctus_kg_cam_effort,Dasypus_sp__kg_cam_effort,Eira_barbara_kg_cam_effort,Euphractus_sexcinctus_kg_cam_effort,Leopardus_guttulus_kg_cam_effort,Leopardus_pardalis_kg_cam_effort,Leopardus_wiedii_kg_cam_effort,Leopardus_sp__kg_cam_effort,Mazama_sp__kg_cam_effort,Myrmecophaga_tridactyla_kg_cam_effort,Nasua_nasua_kg_cam_effort,Pecari_tajacu_kg_cam_effort,Puma_concolor_kg_cam_effort,Puma_yagouaroundi_kg_cam_effort,Sylvilagus_brasiliensis_kg_cam_effort,Tamandua_tetradactyla_kg_cam_effort,Tapirus_terrestris_kg_cam_effort,Tayassu_pecari_kg_cam_effort,Cabassous_sp__mean_time_in_plot,Cuniculus_paca_mean_time_in_plot,Dasyprocta_leporina_mean_time_in_plot,Dasypus_novemcinctus_mean_time_in_plot,Dasypus_sp__mean_time_in_plot,Eira_barbara_mean_time_in_plot,Euphractus_sexcinctus_mean_time_in_plot,Leopardus_guttulus_mean_time_in_plot,Leopardus_pardalis_mean_time_in_plot,Leopardus_wiedii_mean_time_in_plot,Leopardus_sp__mean_time_in_plot,Mazama_sp__mean_time_in_plot,Myrmecophaga_tridactyla_mean_time_in_plot,Nasua_nasua_mean_time_in_plot,Pecari_tajacu_mean_time_in_plot,Puma_concolor_mean_time_in_plot,Puma_yagouaroundi_mean_time_in_plot,Sylvilagus_brasiliensis_mean_time_in_plot,Tamandua_tetradactyla_mean_time_in_plot,Tapirus_terrestris_mean_time_in_plot,Tayassu_pecari_mean_time_in_plot,ml_body_size_kg,hbvr_body_size_kg
CBO_p01o,CBO,1,open,2017,-47.993563,-24.067067,728.286133,22,57,9,64,7.111111111,1.861343714,0.807901235,NA,20,0,0,0.75,0.61,0.05,0,0.22,758.31,10360.87,8623.69,12.62,14.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,39,8,138,58,8298,54,0,5,3,39,13,947,204,332,464,arg,35,7,1,3,3,8,1,4,3,24,8,3,0,0,0,0,0,1,5,0,0,0,0,0,1,4,1,1,11,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,5,0.16,0,0,0,0,0,0.05,3.3,0,0,0,0,0,0.05,0.8,4.2,4.2,4.2,21.36,0.462857143,0.142857143,0.004571429,0,0,0,0,0,0.001428571,0.094285714,0,0,0,0,0,0.001428571,0.022857143,0.12,0.12,0.12,0.610285714,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0
CBO_p01c,CBO,1,closed,2017,-47.993587,-24.067012,730.712769,31,59,12,49,5.444444444,2.378718834,0.897005113,NA,26,0,0.01,0.83,0.5,0.06,0.01,1.29,985.33,17068.76,13233.97,10.3,13.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,38,14,145,97,7308,43,0,6,8,38,131,835,124,414,462,arg,84,3,0,1,2,3,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.08,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.1,0.38,0.003571429,0,9.52E-04,0,0,0,0,0,0,0.013095238,0,0,0,0,0,0,0,0,0,0.013095238,0.00452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO_p02o,CBO,2,open,2017,-47.992218,-24.067741,739.851257,45,36,8,24,2.666666667,2.001182763,0.85260771,NA,20,3,0,0.85,0.5,0.05,0,0.21,1299.92,12923.09,18.09,17.25,15.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,37,15,143,105,7414,57,10,8,7,43,128,70,304,327,369,arg,86,8,3,0,5,7,4,0,3,26,2,13,0,2,0,3,0,0,0,0,1,0,0,0,0,0,34,40,0,41,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,10.2,1.5,0.56,0,95,0,2860,0,0,0,0,11.5,0,0,0,0,0,243.6,3210.1,0,12.26,0.118604651,0.01744186,0.006511628,0,1.104651163,0,33.25581395,0,0,0,0,0.13372093,0,0,0,0,0,2.83255814,37.32674419,0,0.14255814,0,359.6,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,4.5,2860,0,0,4.181395349,0,0,0,0,0,0,0,0,0,1.104651163,0,0,0,0,0,0,0.052325581,33.25581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53636364,164.7222222
CBO_p02c,CBO,2,closed,2017,-47.992151,-24.067649,743.490845,42,27,8,34,3.777777778,1.981791225,0.849112426,NA,21,4,0.11,0.89,0.65,0.07,0.01,2.3,1267.69,7885.04,9023.38,14.69,14.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,35,2,187,107,697,105,15,13,7,46,167,1059,277,330,393,arg,86,2,0,1,1,2,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,10.5,0.122093023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-04,0,0,0,5.81E-04,0.122093023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO_p04o,CBO,4,open,2017,-47.990493,-24.066214,826.624512,25,130,5,20,2.222222222,1.504788284,0.76,NA,36,0,0,0.8,0.6,0.07,0.01,0.21,3257.85,11776.33,9520.87,12.18,17.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,7,152,46,8704,44,9,3,4,47,145,896,481,261,258,md-arg,79,5,0,2,3,6,0,3,3,2,16,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,48,0.04,0,0,0,0,0,0,0.55,0,0,0,0,0.035,0,1,0,0,1.585,48.64,0.007594937,0.607594937,5.06E-04,0,0,0,0,0,0,0.006962025,0,0,0,0,4.43E-04,0,0.012658228,0,0,0.020063291,0.615696203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO_p04c,CBO,4,closed,2017,-47.990394,-24.066304,823.626648,34,148,7,28,3.111111111,1.754004128,0.796296296,NA,29,0,0,0.8,0.73,0.11,0.02,0.18,2573.54,11117.51,36276.36,16.53,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,31,14,246,57,8133,39,55,5,8,61,232,1589,244,462,294,md-arg,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,1.05,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CBO_p05o,CBO,5,open,2017,-47.989345,-24.065651,772.302551,16,213,6,14,1.555555556,1.747868097,0.816326531,NA,14,0,0,0.85,0.59,0.02,0,0.21,823.02,8569.91,16.83,8.32,12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,34,14,122,115,6889,73,0,1,4,31,108,70,247,475,278,md-arg,90,5,2,1,2,7,2,1,4,3,2,6,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.9,2,0.88,0.16,0,0,220,0,0,3.3,0,0,0,0,0,0,0,8.4,228.4,3.3,9.94,0.076666667,0.022222222,0.009777778,0.001777778,0,0,2.444444444,0,0,0.036666667,0,0,0,0,0,0,0,0.093333333,2.537777778,0.036666667,0.110444444,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0.137777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.73333333,220
CBO_p05c,CBO,5,closed,2017,-47.989469,-24.065634,771.00354,18,37,6,25,2.777777778,1.609437912,0.76,NA,17,0,0,0.85,0.53,0.04,0,1.65,725.2,10258.56,17.51,12.44,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35,11,129,85,78,47,26,7,3,39,118,526,262,483,255,md-arg,36,3,0,1,2,3,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,1.32,0.033333333,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0.001388889,0,0,0,0.001388889,0.036666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO_p06o,CBO,6,open,2017,-47.987841,-24.064103,807.0578,18,151,12,61,6.777777778,2.260203623,0.864197531,NA,23,0,0,0.74,0.61,0.12,0.02,1.15,664.28,10851.51,38938.71,10.56,14.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,5,171,29,9231,35,0,3,2,6,166,1095,183,471,346,md-arg,84,2,0,1,1,4,1,1,2,3,5,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.9,4,0,0,95,0,0,0,0,0.55,0,0,0,0,0,0,0,0,95,0.55,4.9,0.010714286,0.047619048,0,0,1.130952381,0,0,0,0,0.006547619,0,0,0,0,0,0,0,0,1.130952381,0.006547619,0.058333333,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
CBO_p06c,CBO,6,closed,2017,-47.987782,-24.064063,805.889343,11,136,6,41,4.555555556,1.179233687,0.574669187,NA,20,2,0,0.7,0.82,0.08,0.01,0.26,370.62,6269.9,11751.76,11.16,14.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,7,219,32,8939,43,31,3,3,59,212,1168,219,443,338,md-arg,85,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.006470588,0,0,0,0,0,0,0,0,0,0.006470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
