Site,Plot,Treatment,Individual,T0,T006,T012,T018,T024,T030,T036,T042,T048,T054,T060,T066,T072,T078,T084,T090,T096,T102,T108,T120,Trecruit,Tdeath,Species,Family,Life Form
CAR,1,open,C1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,36,Araceae sp.,Araceae,herb
CAR,1,open,C2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Chionanthus filiformis,Oleaceae,tree
CAR,1,open,C3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Guarea macrophylla,Meliaceae,tree
CAR,1,open,C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Eugenia cuprea,Myrtaceae,tree
CAR,1,open,C5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,C6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,C7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24,36,Euterpe edulis,Arecaceae,palm
CAR,1,open,C8,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,24,54,Serjania sp.,Sapindaceae,liana
CAR,1,open,C9,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,30,alive,Gomidesia sp.,Myrtaceae,tree
CAR,1,open,C10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,30,108,Philodendron sp.,Araceae,herb
CAR,1,open,C11,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,30,alive,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C12,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,36,84,Euterpe edulis,Arecaceae,palm
CAR,1,open,C13,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,36,66,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C14,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,36,78,Inga sp.,Fabaceae,tree
CAR,1,open,C15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,36,48,Mollinedia cf.,Monimiaceae,tree
CAR,1,open,C16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,36,42,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,48,72,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,48,54,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,54,60,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,60,78,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,78,108,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,C23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Euterpe edulis,Arecaceae,palm
CAR,1,open,C24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Euterpe edulis,Arecaceae,palm
CAR,1,open,C25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,108,alive,Allophylus petiolulatus,Sapindaceae,shrub
CAR,1,open,D1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,12,Araceae sp.,Araceae,herb
CAR,1,open,D2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,6,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,D3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,D4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,alive,Goeppertia sp.,Marantaceae,herb
CAR,1,open,D5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,42,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,D6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,36,42,Indeterminate sp.,Indeterminate,indeterminate
CAR,1,open,D7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,36,42,Acanthaceae sp.,Acanthaceae,herb
